day,licor,id,Photo,Ci,Tleaf,PARi
1,anderegg,H3-1,20.2740816,722.6180311,26.03361852,1999.980741
1,anderegg,H3-1,19.92626432,737.8141716,26.0230963,1999.977037
1,anderegg,H3-1,20.1889575,753.8761172,26.01467143,1999.967857
1,anderegg,H3-1,20.05255827,772.6310819,26.00734286,1999.974643
1,anderegg,H3-1,20.26519858,784.2914431,26.00593571,1999.993571
1,anderegg,H3-1,20.63997643,800.5350886,26.0011037,2000.003333
1,anderegg,H3-1,20.73536883,814.0477041,25.99195556,2000.004815
1,anderegg,H3-1,20.12935945,836.5947179,25.9836963,2000.001852
1,anderegg,H3-1,20.45291932,848.2302275,25.98178571,1999.999643
1,anderegg,H3-1,20.38859878,866.4990911,25.99514643,1999.978571
1,anderegg,H3-1,20.48865471,879.7329485,26.00828929,1999.980714
1,anderegg,H3-1,20.3682404,898.3713564,26.02302963,1999.961852
1,anderegg,H3-1,20.3276873,913.2912071,26.03168571,1999.988929
1,anderegg,H3-1,20.83169532,925.9755721,26.04652222,2000.006667
1,anderegg,H3-1,21.25178267,936.0800948,26.06897143,2000.031429
1,anderegg,H3-1,20.6253498,957.4631345,26.08783704,2000.034444
1,anderegg,H3-1,20.47119084,973.2328176,26.10218571,2000.022143
1,anderegg,H3-1,20.6585386,988.1166003,26.10435926,2000.022593
1,anderegg,H3-1,20.76348939,1001.877555,26.10724643,2000.022143
1,anderegg,H3-1,20.85513684,1018.331422,26.09785185,2000.022593
1,anderegg,H3-1,20.43787101,1037.051169,26.07753214,2000.061429
1,anderegg,H3-1,20.87324826,1050.016872,26.04145185,2000.061852
1,anderegg,H3-1,20.61886311,1069.259987,26.0043,2000.095714
1,anderegg,H3-1,20.27038743,1090.947249,25.95335926,2000.071481
1,anderegg,H3-1,20.78933836,1103.013823,25.91087857,2000.036429
1,anderegg,H3-1,20.64671063,1122.266992,25.86666667,2000.005185
1,anderegg,H3-1,20.82270413,1134.723554,25.84151071,1999.973214
1,anderegg,H3-1,20.57728077,1154.219367,25.81298519,1999.996296
1,anderegg,H3-1,20.70570376,1169.195346,25.79361071,1999.981429
1,anderegg,H3-1,20.69079064,1187.669512,25.7814963,1999.982222
1,anderegg,H3-1,20.66442883,1203.782188,25.78826071,1999.986786
1,anderegg,H3-1,20.91449266,1218.394868,25.79663333,2000.027407
1,anderegg,H3-1,20.43431273,1237.363341,25.79855,2000.017857
1,anderegg,H3-1,20.67434705,1251.532525,25.7866,1999.986667
1,anderegg,H3-1,20.72655357,1266.522147,25.78079643,1999.9725
1,anderegg,F6-2,21.4823519,266.3860709,26.05837097,2000.007742
1,anderegg,F6-2,21.56132071,265.8383329,26.05396897,1999.997241
1,anderegg,F6-2,21.7593536,264.7182406,26.04702143,1999.9925
1,anderegg,F6-2,21.66161473,262.1582941,26.04171481,1999.965185
1,anderegg,F6-2,21.19296377,258.348914,26.03761429,1999.981429
1,anderegg,F6-2,20.62584126,251.1515653,26.03052222,1999.987407
1,anderegg,F6-2,19.79553181,243.6748453,26.02178929,1999.997857
1,anderegg,F6-2,18.80677277,233.6873886,26.00975714,2000.010714
1,anderegg,F6-2,18.02623287,224.5147217,26.00077857,1999.998929
1,anderegg,F6-2,17.08681719,215.4104956,25.99656296,1999.986667
1,anderegg,F6-2,16.18096425,205.8577227,26.00969643,1999.972857
1,anderegg,F6-2,15.24906132,194.6702372,26.04123704,2000.002963
1,anderegg,F6-2,14.31220264,185.3849971,26.06607857,1999.992143
1,anderegg,F6-2,13.24898054,175.0757367,26.08593704,1999.982963
1,anderegg,F6-2,12.23056232,166.3998426,26.09360714,1999.995
1,anderegg,F6-2,11.25217928,156.1390096,26.09735185,1999.991852
1,anderegg,F6-2,10.31351501,146.7949756,26.09308214,2000.024286
1,anderegg,F6-2,9.319363185,136.8566594,26.07852963,2000
1,anderegg,F6-2,8.322632836,128.3239483,26.06570357,2000.024643
1,anderegg,F6-2,7.298575251,117.9645807,26.04674074,2000.012593
1,anderegg,F6-2,6.248196639,109.7118231,26.02877143,2000.018214
1,anderegg,F6-2,5.29448446,99.19619654,26.00455926,2000.031111
1,anderegg,F6-2,4.25221965,90.84936829,25.98466429,2000.023214
1,anderegg,F6-2,3.160048723,81.25331297,25.96737407,2000.007778
1,anderegg,F6-2,21.29815455,266.5696589,25.94715161,1999.992903
1,anderegg,F6-2,21.11082433,267.1266668,25.94720345,2000.025862
1,anderegg,F6-2,20.9190059,268.6178917,25.95487857,2000.021786
1,anderegg,F6-2,21.12567971,270.2428384,25.96644444,2000.017407
1,anderegg,F6-2,21.46391135,274.5529144,25.97636071,1999.997143
1,anderegg,F6-2,21.98857646,281.9621689,25.9870963,2000.006296
1,anderegg,F6-2,22.88560091,289.1548249,25.99514286,2000.001071
1,anderegg,F6-2,23.67248852,299.8114253,25.99867407,2000.038889
1,anderegg,F6-2,24.26169671,310.2249854,25.99374643,2000.038214
1,anderegg,F6-2,24.86821428,320.9628375,25.98747143,2000.072857
1,anderegg,F6-2,26.43501849,329.7876754,25.98223571,2000.020357
1,anderegg,F6-2,26.36172735,345.9898825,25.98512593,1999.991111
1,anderegg,F6-2,27.07129835,356.6638778,25.98732143,1999.975714
1,anderegg,F6-2,27.57074001,371.3196945,25.9897963,1999.988148
1,anderegg,F6-2,28.23799773,381.5972612,25.99193929,1999.997857
1,anderegg,F6-2,29.16237983,391.2026046,25.99429286,2000
1,anderegg,F6-2,30.22970246,401.1389786,26.000875,1999.991786
1,anderegg,F6-2,29.96177517,420.6468188,26.00081852,2000.007037
1,anderegg,F6-2,30.34759717,432.4694168,25.99588214,2000.013571
1,anderegg,F6-2,30.83926653,446.6914367,25.99163333,2000.022963
1,anderegg,F6-2,31.1649493,460.7081001,25.99490357,1999.998929
1,anderegg,F6-2,31.49964459,474.8931978,25.99941852,1999.975185
1,anderegg,F6-2,32.2629325,485.7078477,26.00089286,1999.9825
1,anderegg,F6-2,32.30606356,502.4944661,25.99041481,2000.024444
1,anderegg,F6-2,32.12495757,517.9279983,25.97755,2000.04
1,anderegg,F6-2,32.34032366,533.7428221,25.95891852,2000.035926
1,anderegg,F6-2,32.75876763,547.3886211,25.94720357,2000.0275
1,anderegg,F6-2,32.56548417,566.0647228,25.93687407,2000.038889
1,anderegg,F6-2,32.78139617,579.7323021,25.92428214,2000.046071
1,anderegg,F6-2,32.75747639,596.5092161,25.90767037,2000.027037
1,anderegg,F6-2,32.97846094,611.3164322,25.89385357,1999.993929
1,anderegg,F6-2,32.66156152,629.6724085,25.88635556,1999.975556
1,anderegg,F6-2,32.93372636,642.8564815,25.88683571,1999.97
1,anderegg,F6-2,32.63402581,661.6253188,25.89453333,2000.003704
1,anderegg,F6-2,32.77338479,675.5314209,25.90704286,2000.008214
1,anderegg,F6-2,32.50223753,693.9407989,25.92458148,2000.03037
1,anderegg,F6-2,32.61127528,708.0010795,25.938975,2000.015714
1,anderegg,F6-2,32.56225319,725.68349,25.95194074,2000.006667
1,anderegg,F6-2,32.58481048,740.1002251,25.96311111,2000.005185
1,anderegg,F6-2,32.45241537,756.9582876,25.97659286,1999.987143
1,anderegg,F6-2,32.57544214,773.1570115,25.99122593,2000.004444
1,anderegg,F6-2,32.8714918,786.2228081,25.999625,2000.0025
1,anderegg,F6-2,32.49425496,802.2273734,26.00315,2000.003214
1,anderegg,F6-2,33.99673706,813.0049635,25.99840714,1999.985
1,anderegg,F6-2,32.64733755,836.765743,25.98721111,1999.972222
1,anderegg,F6-2,32.73111416,852.5294173,25.97968571,1999.99
1,anderegg,F6-2,32.74399156,869.6208892,25.97394815,1999.993333
1,anderegg,F6-2,32.56116599,885.381855,25.97933571,1999.992857
1,anderegg,F6-2,32.75913155,901.1792954,25.98614444,1999.973704
1,anderegg,F6-2,32.72638231,917.1977868,25.99166429,1999.983571
1,anderegg,F6-2,32.8970387,933.0567112,25.99136296,1999.998148
1,anderegg,F6-2,32.61519438,948.8295718,25.99025185,2000.021111
1,anderegg,F6-2,32.89079904,963.2554501,25.98966296,2000.012963
1,anderegg,F6-2,32.77988617,982.0543586,25.98781429,2000.004286
1,anderegg,F6-2,32.9583578,994.4474984,25.98822143,1999.991786
1,anderegg,F6-2,33.04844005,1011.721601,25.99302143,2000.031071
1,anderegg,F6-2,32.90557235,1029.318748,25.99512222,2000.045926
1,anderegg,F6-2,32.77671794,1045.439909,25.99181852,2000.046667
1,anderegg,F6-2,33.1426009,1057.89411,25.98290714,2000.020714
1,anderegg,F6-2,32.78844999,1077.707387,25.977625,1999.9875
1,anderegg,F6-2,33.08283994,1090.304996,25.98155714,1999.986071
1,anderegg,F6-2,32.91708868,1108.746009,25.9917037,1999.978148
1,anderegg,F6-2,33.25861154,1121.05629,26.00529643,1999.967143
1,anderegg,F6-2,33.12179813,1138.392967,26.01686667,1999.984074
1,anderegg,F6-2,33.19548369,1153.316209,26.02056786,2000.005357
1,anderegg,F6-2,33.43847178,1170.90666,26.02050714,2000.045
1,anderegg,F6-2,33.21750675,1185.947613,26.01398929,2000.052143
1,anderegg,F6-2,33.40072553,1201.638406,25.99938148,2000.06
1,anderegg,F6-2,33.59380111,1218.623412,25.97331481,2000.042963
1,anderegg,F6-2,33.59783452,1233.765611,25.95266296,2000.004074
1,anderegg,F6-2,33.2874473,1250.639045,25.931475,2000.012857
1,anderegg,F7-2,20.94906359,267.7165144,26.14013,1999.996333
1,anderegg,F7-2,20.98134311,267.6187823,26.13106897,1999.992414
1,anderegg,F7-2,21.09414207,266.3780034,26.11572143,2000.010714
1,anderegg,F7-2,20.94671462,264.8932176,26.09497407,1999.987778
1,anderegg,F7-2,20.53627435,261.1258108,26.08100714,2000.010714
1,anderegg,F7-2,19.83760905,254.215624,26.069,2000.006667
1,anderegg,F7-2,19.09677122,245.7580239,26.06214643,2000.015714
